Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
45046527,American Dirt,Jeanine Cummins,"Cummins, Jeanine",,"=""""","=""""",0,4.37,Flatiron Books,Hardcover,459,2020,2020,,2026/03/03,to-read,to-read (#19),to-read,,,,0,0
58733693,Remarkably Bright Creatures,Shelby Van Pelt,"Pelt, Shelby Van",,"=""0063204150""","=""9780063204157""",0,4.36,Ecco,Hardcover,360,2022,2022,,2026/03/03,to-read,to-read (#18),to-read,,,,0,0
35074096,"Mythos: The Greek Myths Retold (Stephen Fry's Great Mythology, #1)",Stephen Fry,"Fry, Stephen",,"=""0718188721""","=""9780718188726""",0,4.26,Michael Joseph,Hardcover,416,2017,2017,,2026/02/11,currently-reading,currently-reading (#1),currently-reading,,,,1,0
17800,Dance Dance Dance,Haruki Murakami,"Murakami, Haruki",Alfred Birnbaum,"=""0099448769""","=""9780099448761""",4,4.04,Vintage,Paperback,393,2002,1988,2026/03/03,2025/11/24,,,read,,,,1,0
55886800,"Odyssey (Stephen Fry's Great Mythology, #4)",Stephen Fry,"Fry, Stephen",,"=""1405948418""","=""9781405948418""",0,4.29,Penguin,ebook,448,2024,2024,,2026/02/11,to-read,to-read (#17),to-read,,,,0,0
53443339,"Troy (Stephen Fry's Great Mythology, #3)",Stephen Fry,"Fry, Stephen",,"=""0241424585""","=""9780241424582""",0,4.34,Michael Joseph,Hardcover,414,2020,2020,,2026/02/11,to-read,to-read (#16),to-read,,,,0,0
41433634,"Heroes: Mortals and Monsters, Quests and Adventures (Stephen Fry's Great Mythology, #2)",Stephen Fry,"Fry, Stephen",,"=""0241380375""","=""9780241380376""",0,4.31,Michael Joseph,Paperback,415,2018,2018,,2026/02/11,to-read,to-read (#15),to-read,,,,0,0
107291,Needful Things,Stephen  King,"King, Stephen",,"=""""","=""""",0,3.98,Hodder & Stoughton Ltd,Paperback,790,1992,1991,,2026/02/02,to-read,to-read (#14),to-read,,,,0,0
30091914,Human Acts,Han Kang,"Kang, Han",Deborah     Smith,"=""1101906723""","=""9781101906729""",0,4.27,Hogarth,Hardcover,218,2017,2014,,2026/02/02,to-read,to-read (#13),to-read,,,,0,0
591978,"Pinball, 1973 (The Rat, #2)",Haruki Murakami,"Murakami, Haruki",Alfred Birnbaum,"=""4061860127""","=""9784061860124""",4,3.50,Kodansha International Ltd.,Paperback,215,1980,1980,2026/01/13,2025/12/28,,,read,,,,1,0
226973,"Hear the Wind Sing (The Rat, #1)",Haruki Murakami,"Murakami, Haruki",Alfred Birnbaum,"=""4061860267""","=""9784061860261""",4,3.57,Kodansha International Ltd.,Paperback,130,1979,1979,2026/01/13,2025/12/28,,,read,,,,1,0
4069,Man's Search for Meaning,Viktor E. Frankl,"Frankl, Viktor E.","Harold S. Kushner, William J. Winslade, Isle Lasch","=""080701429X""","=""9780807014295""",5,4.37,Beacon Press,Paperback,165,2006,1946,2025/12/28,2025/02/23,,,read,,,,1,0
41022133,Colorless Tsukuru Tazaki and His Years of Pilgrimage,Haruki Murakami,"Murakami, Haruki",,"=""0385352115""","=""9780385352116""",5,3.87,Vintage Books,Paperback,308,2014,2013,2025/12/26,2025/10/13,,,read,,,,1,0
239775146,Kafka on the Shore,Haruki Murakami,"Murakami, Haruki",Philip Gabriel,"=""1400079276""","=""9781400079278""",5,4.12,Vintage International,Paperback,467,2025,2002,2025/11/23,2025/10/13,,,read,,,,1,0
2195464,What I Talk About When I Talk About Running,Haruki Murakami,"Murakami, Haruki",Philip Gabriel,"=""""","=""""",0,3.87,Knopf Publishing Group,Hardcover,188,2008,2007,,2025/10/13,to-read,to-read (#12),to-read,,,,0,0
2657,To Kill a Mockingbird,Harper Lee,"Lee, Harper",,"=""0060935464""","=""9780060935467""",5,4.26,Harper Perennial Modern Classics ,Paperback,323,2006,1960,2025/10/13,2025/02/23,,,read,,,,1,0
30165203,"American Gods: Tenth Anniversary (American Gods, #1)",Neil Gaiman,"Gaiman, Neil",,"=""""","=""""",4,4.10,William Morrow,Kindle Edition,635,2011,2001,2025/09/29,2025/01/05,,,read,,,,1,0
